"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,245,"URY","Uruguay",1,"Artigas","Departamento","Department",NA,NA
2,245,"URY","Uruguay",2,"Canelones","Departamento","Department",NA,NA
3,245,"URY","Uruguay",3,"Cerro Largo","Departamento","Department",NA,NA
4,245,"URY","Uruguay",4,"Colonia","Departamento","Department",NA,NA
5,245,"URY","Uruguay",5,"Durazno","Departamento","Department",NA,NA
6,245,"URY","Uruguay",6,"Flores","Departamento","Department",NA,NA
7,245,"URY","Uruguay",7,"Florida","Departamento","Department",NA,NA
8,245,"URY","Uruguay",8,"Lavalleja","Departamento","Department",NA,NA
9,245,"URY","Uruguay",9,"Maldonado","Departamento","Department",NA,NA
10,245,"URY","Uruguay",10,"Montevideo","Departamento","Department",NA,"Montevidéu"
11,245,"URY","Uruguay",11,"Paysandú","Departamento","Department",NA,NA
12,245,"URY","Uruguay",12,"Río Negro","Departamento","Department",NA,NA
13,245,"URY","Uruguay",13,"Rivera","Departamento","Department",NA,NA
14,245,"URY","Uruguay",14,"Rocha","Departamento","Department",NA,NA
15,245,"URY","Uruguay",15,"Salto","Departamento","Department",NA,NA
16,245,"URY","Uruguay",16,"San José","Departamento","Department",NA,NA
17,245,"URY","Uruguay",17,"Soriano","Departamento","Department",NA,NA
18,245,"URY","Uruguay",18,"Tacuarembó","Departamento","Department",NA,NA
19,245,"URY","Uruguay",19,"Treinta y Tres","Departamento","Department",NA,NA
