,Fecha,Indicador,Territorio,Valor
0,2020-04-09T00:00:00,Casos activos,Artigas,0
1,2020-04-09T00:00:00,Casos activos,Canelones,37
2,2020-04-09T00:00:00,Casos activos,Cerro Largo,0
3,2020-04-09T00:00:00,Casos activos,Colonia,4
4,2020-04-09T00:00:00,Casos activos,Durazno,0
5,2020-04-09T00:00:00,Casos activos,Flores,0
6,2020-04-09T00:00:00,Casos activos,Florida,0
7,2020-04-09T00:00:00,Casos activos,Lavalleja,4
8,2020-04-09T00:00:00,Casos activos,Maldonado,12
9,2020-04-09T00:00:00,Casos activos,Montevideo,150
10,2020-04-09T00:00:00,Casos activos,Paysandú,1
11,2020-04-09T00:00:00,Casos activos,Río Negro,5
12,2020-04-09T00:00:00,Casos activos,Rivera,1
13,2020-04-09T00:00:00,Casos activos,Rocha,1
14,2020-04-09T00:00:00,Casos activos,Salto,9
15,2020-04-09T00:00:00,Casos activos,San José,1
16,2020-04-09T00:00:00,Casos activos,Soriano,0
17,2020-04-09T00:00:00,Casos activos,Tacuarembó,0
18,2020-04-09T00:00:00,Casos activos,Treinta y Tres,0
19,2020-04-09T00:00:00,Casos recuperados,Artigas,0
20,2020-04-09T00:00:00,Casos recuperados,Canelones,38
21,2020-04-09T00:00:00,Casos recuperados,Cerro Largo,0
22,2020-04-09T00:00:00,Casos recuperados,Colonia,3
23,2020-04-09T00:00:00,Casos recuperados,Durazno,0
24,2020-04-09T00:00:00,Casos recuperados,Flores,1
25,2020-04-09T00:00:00,Casos recuperados,Florida,0
26,2020-04-09T00:00:00,Casos recuperados,Lavalleja,0
27,2020-04-09T00:00:00,Casos recuperados,Maldonado,5
28,2020-04-09T00:00:00,Casos recuperados,Montevideo,156
29,2020-04-09T00:00:00,Casos recuperados,Paysandú,0
30,2020-04-09T00:00:00,Casos recuperados,Río Negro,0
31,2020-04-09T00:00:00,Casos recuperados,Rivera,0
32,2020-04-09T00:00:00,Casos recuperados,Rocha,0
33,2020-04-09T00:00:00,Casos recuperados,Salto,3
34,2020-04-09T00:00:00,Casos recuperados,San José,0
35,2020-04-09T00:00:00,Casos recuperados,Soriano,1
36,2020-04-09T00:00:00,Casos recuperados,Tacuarembó,0
37,2020-04-09T00:00:00,Casos recuperados,Treinta y Tres,0
38,2020-04-09T00:00:00,Fallecidos,Artigas,0
39,2020-04-09T00:00:00,Fallecidos,Canelones,0
40,2020-04-09T00:00:00,Fallecidos,Cerro Largo,0
41,2020-04-09T00:00:00,Fallecidos,Colonia,0
42,2020-04-09T00:00:00,Fallecidos,Durazno,0
43,2020-04-09T00:00:00,Fallecidos,Flores,0
44,2020-04-09T00:00:00,Fallecidos,Florida,0
45,2020-04-09T00:00:00,Fallecidos,Lavalleja,0
46,2020-04-09T00:00:00,Fallecidos,Maldonado,1
47,2020-04-09T00:00:00,Fallecidos,Montevideo,6
48,2020-04-09T00:00:00,Fallecidos,Paysandú,0
49,2020-04-09T00:00:00,Fallecidos,Río Negro,0
50,2020-04-09T00:00:00,Fallecidos,Rivera,0
51,2020-04-09T00:00:00,Fallecidos,Rocha,0
52,2020-04-09T00:00:00,Fallecidos,Salto,0
53,2020-04-09T00:00:00,Fallecidos,San José,0
54,2020-04-09T00:00:00,Fallecidos,Soriano,0
55,2020-04-09T00:00:00,Fallecidos,Tacuarembó,0
56,2020-04-09T00:00:00,Fallecidos,Treinta y Tres,0
57,2020-04-09T00:00:00,Personal de la salud  Confirmados,Todo el país,62
58,2020-04-09T00:00:00,Personal de la salud  Recuperados,Todo el país,0
59,2020-04-09T00:00:00,Personal de la salud  Activos,Todo el país,0
60,2020-04-09T00:00:00,Personal de la salud  Fallecidos,Todo el país,0
61,2020-04-09T00:00:00,Cantidad de Tests  Positivos,Todo el país,17
62,2020-04-09T00:00:00,Cantidad de Tests  Negativos,Todo el país,664
63,2020-04-09T00:00:00,Personas en CTI,Todo el país,13
64,2020-04-09T00:00:00,Personas en CI,Todo el país,4
65,2020-04-09T00:00:00,Fallecidos,Todo el país,7
66,2020-04-09T00:00:00,Casos nuevos,Todo el país,0
67,2020-04-10T00:00:00,Casos activos,Artigas,0
68,2020-04-10T00:00:00,Casos activos,Canelones,37
69,2020-04-10T00:00:00,Casos activos,Cerro Largo,0
70,2020-04-10T00:00:00,Casos activos,Colonia,5
71,2020-04-10T00:00:00,Casos activos,Durazno,0
72,2020-04-10T00:00:00,Casos activos,Flores,0
73,2020-04-10T00:00:00,Casos activos,Florida,0
74,2020-04-10T00:00:00,Casos activos,Lavalleja,4
75,2020-04-10T00:00:00,Casos activos,Maldonado,13
76,2020-04-10T00:00:00,Casos activos,Montevideo,167
77,2020-04-10T00:00:00,Casos activos,Paysandú,1
78,2020-04-10T00:00:00,Casos activos,Río Negro,5
79,2020-04-10T00:00:00,Casos activos,Rivera,1
80,2020-04-10T00:00:00,Casos activos,Rocha,0
81,2020-04-10T00:00:00,Casos activos,Salto,9
82,2020-04-10T00:00:00,Casos activos,San José,2
83,2020-04-10T00:00:00,Casos activos,Soriano,0
84,2020-04-10T00:00:00,Casos activos,Tacuarembó,0
85,2020-04-10T00:00:00,Casos activos,Treinta y Tres,0
86,2020-04-10T00:00:00,Casos recuperados,Artigas,0
87,2020-04-10T00:00:00,Casos recuperados,Canelones,40
88,2020-04-10T00:00:00,Casos recuperados,Cerro Largo,0
89,2020-04-10T00:00:00,Casos recuperados,Colonia,3
90,2020-04-10T00:00:00,Casos recuperados,Durazno,0
91,2020-04-10T00:00:00,Casos recuperados,Flores,1
92,2020-04-10T00:00:00,Casos recuperados,Florida,0
93,2020-04-10T00:00:00,Casos recuperados,Lavalleja,0
94,2020-04-10T00:00:00,Casos recuperados,Maldonado,5
95,2020-04-10T00:00:00,Casos recuperados,Montevideo,159
96,2020-04-10T00:00:00,Casos recuperados,Paysandú,0
97,2020-04-10T00:00:00,Casos recuperados,Río Negro,1
98,2020-04-10T00:00:00,Casos recuperados,Rivera,0
99,2020-04-10T00:00:00,Casos recuperados,Rocha,1
100,2020-04-10T00:00:00,Casos recuperados,Salto,3
101,2020-04-10T00:00:00,Casos recuperados,San José,0
102,2020-04-10T00:00:00,Casos recuperados,Soriano,1
103,2020-04-10T00:00:00,Casos recuperados,Tacuarembó,0
104,2020-04-10T00:00:00,Casos recuperados,Treinta y Tres,0
105,2020-04-10T00:00:00,Fallecidos,Artigas,0
106,2020-04-10T00:00:00,Fallecidos,Canelones,0
107,2020-04-10T00:00:00,Fallecidos,Cerro Largo,0
108,2020-04-10T00:00:00,Fallecidos,Colonia,0
109,2020-04-10T00:00:00,Fallecidos,Durazno,0
110,2020-04-10T00:00:00,Fallecidos,Flores,0
111,2020-04-10T00:00:00,Fallecidos,Florida,0
112,2020-04-10T00:00:00,Fallecidos,Lavalleja,0
113,2020-04-10T00:00:00,Fallecidos,Maldonado,1
114,2020-04-10T00:00:00,Fallecidos,Montevideo,6
115,2020-04-10T00:00:00,Fallecidos,Paysandú,0
116,2020-04-10T00:00:00,Fallecidos,Río Negro,0
117,2020-04-10T00:00:00,Fallecidos,Rivera,0
118,2020-04-10T00:00:00,Fallecidos,Rocha,0
119,2020-04-10T00:00:00,Fallecidos,Salto,0
120,2020-04-10T00:00:00,Fallecidos,San José,0
121,2020-04-10T00:00:00,Fallecidos,Soriano,0
122,2020-04-10T00:00:00,Fallecidos,Tacuarembó,0
123,2020-04-10T00:00:00,Fallecidos,Treinta y Tres,0
124,2020-04-10T00:00:00,Personal de la salud  Confirmados,Todo el país,66
125,2020-04-10T00:00:00,Personal de la salud  Recuperados,Todo el país,0
126,2020-04-10T00:00:00,Personal de la salud  Activos,Todo el país,0
127,2020-04-10T00:00:00,Personal de la salud  Fallecidos,Todo el país,0
128,2020-04-10T00:00:00,Cantidad de Tests  Positivos,Todo el país,21
129,2020-04-10T00:00:00,Cantidad de Tests  Negativos,Todo el país,619
130,2020-04-10T00:00:00,Personas en CTI,Todo el país,15
131,2020-04-10T00:00:00,Personas en CI,Todo el país,0
132,2020-04-10T00:00:00,Fallecidos,Todo el país,7
133,2020-04-10T00:00:00,Casos nuevos,Todo el país,26
134,2020-04-11T00:00:00,Casos activos,Artigas,0
135,2020-04-11T00:00:00,Casos activos,Canelones,34
136,2020-04-11T00:00:00,Casos activos,Cerro Largo,0
137,2020-04-11T00:00:00,Casos activos,Colonia,5
138,2020-04-11T00:00:00,Casos activos,Durazno,0
139,2020-04-11T00:00:00,Casos activos,Flores,0
140,2020-04-11T00:00:00,Casos activos,Florida,0
141,2020-04-11T00:00:00,Casos activos,Lavalleja,4
142,2020-04-11T00:00:00,Casos activos,Maldonado,13
143,2020-04-11T00:00:00,Casos activos,Montevideo,167
144,2020-04-11T00:00:00,Casos activos,Paysandú,1
145,2020-04-11T00:00:00,Casos activos,Río Negro,6
146,2020-04-11T00:00:00,Casos activos,Rivera,1
147,2020-04-11T00:00:00,Casos activos,Rocha,0
148,2020-04-11T00:00:00,Casos activos,Salto,8
149,2020-04-11T00:00:00,Casos activos,San José,2
150,2020-04-11T00:00:00,Casos activos,Soriano,0
151,2020-04-11T00:00:00,Casos activos,Tacuarembó,0
152,2020-04-11T00:00:00,Casos activos,Treinta y Tres,0
153,2020-04-11T00:00:00,Casos recuperados,Artigas,0
154,2020-04-11T00:00:00,Casos recuperados,Canelones,43
155,2020-04-11T00:00:00,Casos recuperados,Cerro Largo,0
156,2020-04-11T00:00:00,Casos recuperados,Colonia,3
157,2020-04-11T00:00:00,Casos recuperados,Durazno,0
158,2020-04-11T00:00:00,Casos recuperados,Flores,1
159,2020-04-11T00:00:00,Casos recuperados,Florida,0
160,2020-04-11T00:00:00,Casos recuperados,Lavalleja,0
161,2020-04-11T00:00:00,Casos recuperados,Maldonado,5
162,2020-04-11T00:00:00,Casos recuperados,Montevideo,166
163,2020-04-11T00:00:00,Casos recuperados,Paysandú,0
164,2020-04-11T00:00:00,Casos recuperados,Río Negro,0
165,2020-04-11T00:00:00,Casos recuperados,Rivera,0
166,2020-04-11T00:00:00,Casos recuperados,Rocha,1
167,2020-04-11T00:00:00,Casos recuperados,Salto,4
168,2020-04-11T00:00:00,Casos recuperados,San José,0
